"","observed","chao1","diversity_inverse_simpson","diversity_gini_simpson","diversity_shannon","diversity_fisher","diversity_coverage","evenness_camargo","evenness_pielou","evenness_simpson","evenness_evar","evenness_bulla","dominance_dbp","dominance_dmn","dominance_absolute","dominance_relative","dominance_simpson","dominance_core_abundance","dominance_gini","rarity_log_modulo_skewness","rarity_low_abundance","rarity_rare_abundance"
"AA1",18,18.25,4.10253044077587,0.756248,1.80066658305934,3.65403978254341,2,1,0.622987883181507,0.227918357820882,0.251879939901125,0.337882352941176,0.39,0.642,195,0.39,0.243752,0.578,0.999102290076336,1.94594600557289,0,0.026
"AA10",24,27,2.97427844005044,0.663784,1.70043533845767,5.25676062752235,1,1,0.535055549474914,0.123928268335435,0.268044850195028,0.301565217391304,0.55,0.694,275,0.55,0.336216,0.932,0.999082442748092,2.02410461488654,0,0.0319999999999999
"AA11",29,38.3333333333333,7.65181194906954,0.869312,2.52523670333941,6.7051154650831,4,1,0.749930160828653,0.263855584450674,0.267350965220556,0.478357142857143,0.302,0.396,151,0.302,0.130688,0.664,0.998124427480915,1.92637203366724,0,0.098
"AA12",32,36.6666666666667,7.70748550992724,0.870256,2.53196694952071,7.6212341912171,3,1,0.730571232353657,0.240858922185226,0.286194595587253,0.432258064516129,0.284,0.418,142,0.284,0.129744,0.514,0.998145038167939,2.0084040496208,0,0.356
"AA2",24,31,6.54587348135735,0.847232,2.22706679031828,5.25676062752235,3,1,0.700764338555729,0.27274472838989,0.232763633219104,0.382260869565217,0.286,0.46,143,0.286,0.152768,0.856,0.998667938931298,1.9764837188805,0,0.04
"AA3",38,57.4285714285714,9.23122369101248,0.891672,2.55303999554529,9.55660713257044,4,1,0.701850041055063,0.242926939237171,0.258971122794306,0.341513513513514,0.17,0.334,85,0.17,0.108328,0.828,0.99808854961832,2.0340655034608,0,0.098
"AA4",36,49.2,9.71552930203638,0.897072,2.60801756624828,8.8963555969873,4,1,0.727781158977742,0.269875813945455,0.274003210806425,0.370514285714286,0.164,0.312,82,0.164,0.102928,0.71,0.998016030534351,2.04036238814864,0,0.216
"AA5",24,29,5.92557478075373,0.83124,2.20087489083751,5.25676062752235,2,1,0.692522848361114,0.246898949198072,0.246865210047127,0.417391304347826,0.314,0.512,157,0.314,0.16876,0.512,0.998675572519084,1.91220921144275,0,0.342
"AA6",31,37.4285714285714,5.91884085420711,0.831048,2.21699704494804,7.31199795604009,3,1,0.645604340648799,0.190930350135713,0.263976442996087,0.334066666666667,0.304,0.494,152,0.304,0.168952,0.898,0.998617557251909,2.03001579127871,0,0.0620000000000001
"AA7",32,47,7.33008854746965,0.863576,2.39921814395727,7.6212341912171,3,1,0.692268023659596,0.229065267108427,0.277205228789325,0.35741935483871,0.238,0.414,119,0.238,0.136424,0.814,0.998357251908397,2.05074528645063,0,0.134
"AA8",29,36.2,6.34711079516604,0.842448,2.26857307473425,6.7051154650831,3,1,0.673707683932054,0.218865889488484,0.258992033535576,0.352071428571429,0.296,0.466,148,0.296,0.157552,0.872,0.998566412213741,2.03394136317292,0,0.088
"AA9",29,33.6666666666667,11.9973126019772,0.916648,2.67627435680953,6.7051154650831,5,1,0.794784447798364,0.413700434550936,0.242865822442059,0.452428571428571,0.134,0.244,67,0.134,0.083352,0.628,0.997864122137404,1.98063350625577,0,0.17
"AB1",22,22,3.77963231736817,0.735424,2.05508963817185,4.7056775666431,2,1,0.664853255554307,0.17180146897128,0.455885063591915,0.436190476190476,0.49,0.592,245,0.49,0.264576,0.696,0.998617557251909,1.83494953603178,0,0.106
"AB10",21,21,5.62126186086253,0.822104,2.23619503328254,4.43636598748698,2,1,0.734497800237821,0.267679136231549,0.409134184637718,0.4776,0.316,0.566,158,0.316,0.177896,0.73,0.998515267175573,1.71126731322907,0,0.198
"AB11",33,36.3333333333333,9.45251058681186,0.894208,2.72720481661286,7.9343056342081,4,1,0.779979670762969,0.286439714751874,0.366531977379803,0.49625,0.226,0.37,113,0.226,0.105792,0.594,0.997654198473282,1.96568406457059,0,0.158
"AB4",29,29,5.8638645212741,0.829464,2.49846051440682,6.7051154650831,3,1,0.741978323424247,0.202202224871521,0.46570487116485,0.514142857142857,0.378,0.488,189,0.378,0.170536,0.696,0.997931297709924,1.86967086641879,0,0.208
"AB7",29,38.3333333333333,2.4306298248002,0.588584,1.66875582452086,6.7051154650831,1,1,0.495577433280509,0.0838148215448346,0.33193641335679,0.311714285714286,0.63,0.726,315,0.63,0.411416,0.222,0.998877099236641,2.05340368843926,0,0.118
"AB8",18,19.5,3.21642693564573,0.689096,1.73316607239543,3.65403978254341,1,1,0.599634309206286,0.178690385313652,0.259787232347755,0.375529411764706,0.526,0.656,263,0.526,0.310904,0.922,0.999108396946565,1.87385931301531,0,0.07
"AB9",16,16.5,2.8151885050223,0.644784,1.63147231815657,3.1545409769796,1,1,0.588429255688025,0.175949281563894,0.290856262209901,0.380266666666667,0.572,0.706,286,0.572,0.355216,0.89,0.999145801526718,1.76572149915179,0,0.028
"AC1",37,39.5,8.89869723072542,0.887624,2.72657217298059,9.22460118343268,4,1,0.755091153812455,0.240505330560147,0.349964555348675,0.452444444444444,0.264,0.378,132,0.264,0.112376,0.704,0.997690839694656,2.00166121151469,0,0.186
"AC10",53,61.5714285714286,13.2345156167284,0.92444,3.03495978239451,14.983729049146,5,1,0.764417289327021,0.249707841825065,0.346162870565103,0.403153846153846,0.17,0.28,85,0.17,0.07556,0.628,0.996884732824428,2.0384177982528,0,0.2
"AC11",58,70.3636363636364,15.460729746444,0.93532,3.23627614493139,16.9787193852669,6,0.998034482758621,0.797025382827841,0.266564305973173,0.374042683351424,0.457263157894737,0.174,0.262,87,0.174,0.06468,0.636,0.996201526717558,2.03102639646151,0,0.254
