OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	unidentified_Mycobacterium
ASV2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	unidentified_Lactococcus
ASV3	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	unidentified_Pseudoxanthomonas
ASV4	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	uncultured_bacterium
ASV5	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	unidentified_Massilia
ASV6	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	unidentified_Enterobacter
ASV7	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	unidentified_Acinetobacter
ASV8	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	Rokubacteriales	Rokubacteriales	uncultured_bacterium
ASV9	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus_goriensis
ASV10	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	unidentified_Sphingobium
ASV11	Bacteria	Firmicutes	Bacilli	Lactobacillales	unidentified_Lactobacillales	unidentified_Lactobacillales	unidentified_Lactobacillales
ASV12	Eukaryota	Phragmoplastophyta	Embryophyta	Magnoliophyta	Magnoliophyta	Magnoliophyta	Nicotiana_attenuata
ASV13	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_brevis
ASV14	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ochrobactrum	unidentified_Ochrobactrum
ASV15	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium_sp.
ASV16	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	unidentified_Streptomyces
ASV17	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	unidentified_Methylophilaceae	unidentified_Methylophilaceae
ASV18	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	unidentified_Thermomicrobiales	unidentified_Thermomicrobiales	unidentified_Thermomicrobiales
ASV19	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	unidentified_Leptotrichiaceae	unidentified_Leptotrichiaceae
ASV20	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	uncultured_bacterium
ASV21	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	uncultured_bacterium
ASV22	Bacteria	Firmicutes	Desulfotomaculia	Desulfotomaculales	Desulfallas-Sporotomaculum	Desulfallas-Sporotomaculum	unidentified_Desulfallas-Sporotomaculum
ASV23	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Frateuria	Frateuria_aurantia
ASV24	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	unidentified_Weissella
ASV25	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella_pneumoniae
ASV26	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	unidentified_Rickettsiales	unidentified_Rickettsiales	unidentified_Rickettsiales
ASV27	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	unidentified_Bacillaceae	unidentified_Bacillaceae
ASV28	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	uncultured_bacterium
ASV29	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Rheinheimera	unidentified_Rheinheimera
