Tree,Taxon,StandardizedAbundance
Shanxi,ASV8179,2.7083462030607506
Shanxi,ASV8179,0
Shanxi,ASV8179,0
Shanxi,ASV8179,0
Shanxi,ASV8179,0
Shanxi,ASV8179,0
Shanxi,ASV8179,0
Shanxi,ASV8179,3.7083462030607506
Shanxi,ASV8179,3.601430999144239
Shanxi,ASV8179,4.293308703781907
Shanxi,ASV8179,4.1489187944467325
Shanxi,ASV8179,0
Shanxi,ASV8179,4.293308703781907
Shanxi,ASV8179,3.601430999144239
Shanxi,ASV8179,4.708346203060751
Shanxi,ASV8179,2.222919375890509
Shanxi,ASV8179,2.4859537817243025
Shanxi,ASV8179,2.9009912810031464
Shanxi,ASV8179,2.4859537817243025
Shanxi,ASV8179,4.544847470777871
Shanxi,ASV8179,0
Shanxi,ASV8179,0
Shanxi,ASV8179,3.070916282445459
Shanxi,ASV8179,4.1489187944467325
Jiangsu,ASV8179,5.0709162824454586
Jiangsu,ASV8179,4.222919375890509
Jiangsu,ASV8179,0
Jiangsu,ASV8179,3.988454122253486
Jiangsu,ASV8179,4.360422899640444
Jiangsu,ASV8179,5.878271204503063
Jiangsu,ASV8179,4.758972276130718
Jiangsu,ASV8179,0
Jiangsu,ASV8179,0
Jiangsu,ASV8179,0
Jiangsu,ASV8179,0
Jiangsu,ASV8179,0
Jiangsu,ASV8179,0
Jiangsu,ASV8179,5.4245532370601595
Jiangsu,ASV8179,5.601430999144239
Jiangsu,ASV8179,5.900991281003146
Jiangsu,ASV8179,0
Jiangsu,ASV8179,0
Jiangsu,ASV8179,0
Jiangsu,ASV8179,3.222919375890509
Jiangsu,ASV8179,3.807881876611665
Jiangsu,ASV8179,5.515701125118355
Jiangsu,ASV8179,5.733881295167889
Jiangsu,ASV8179,5.9453854003616
Jiangsu,ASV8179,5.923359094031601
Jiangsu,ASV8179,5.855187591390022
Jiangsu,ASV8179,4.855187591390022
Jiangsu,ASV8179,4.9453854003616
Jiangsu,ASV8179,5.682350994527806
Jiangsu,ASV8179,4.758972276130718
Jiangsu,ASV8179,5.9453854003616
Jiangsu,ASV8179,4.0709162824454594
Jiangsu,ASV8179,4.900991281003146
Jiangsu,ASV8179,5.515701125118355
Jiangsu,ASV8179,0
Jiangsu,ASV8179,4.601430999144239
Jiangsu,ASV8179,12.724159459987888
Jiangsu,ASV8179,12.111053764243378
Jiangsu,ASV8179,12.893398596351645
Jiangsu,ASV8179,12.812383268846606
Jiangsu,ASV8179,12.333794137355016
Jiangsu,ASV8179,13.995481389147455
Jiangsu,ASV8179,12.57474202044121
Jiangsu,ASV8179,13.1168275909656
Jiangsu,ASV8179,11.615666108311148
Jiangsu,ASV8179,13.134011707477644
Jiangsu,ASV8179,12.665240886370306
Jiangsu,ASV8179,13.191730143442495
Jiangsu,ASV8179,5.327256035705244
Jiangsu,ASV8179,5.186393499865395
Jiangsu,ASV8179,5.1104446466320965
Jiangsu,ASV8179,5.831728618566033
Jiangsu,ASV8179,5.1489187944467325
