	otu	otu_occ	otu_rel	fill
1	ASV1	0.056808688	9.07E-05	core
2	ASV2	0.000835422	4.28E-07	core
3	ASV3	0.006683375	1.14E-05	core
4	ASV4	0.000835422	1.41E-08	core
5	ASV5	0.000835422	3.72E-07	core
6	ASV6	0.000835422	7.96E-06	core
7	ASV7	0.000835422	1.20E-07	core
8	ASV8	0.000835422	2.30E-06	core
9	ASV9	0.086048455	4.22E-04	core
10	ASV10	0.002506266	1.59E-06	core
11	ASV11	0.000835422	7.36E-07	core
12	ASV13	0.009189641	1.28E-05	core
13	ASV14	0.000835422	5.95E-08	core
14	ASV15	0.000835422	5.04E-08	core
15	ASV16	0.001670844	1.02E-06	core
16	ASV17	0.000835422	2.29E-07	core
17	ASV18	0.000835422	2.59E-08	core
18	ASV19	0.000835422	2.98E-06	core
19	ASV20	0.000835422	2.46E-07	core
20	ASV21	0.011695906	3.07E-05	core
21	ASV22	0.001670844	2.02E-07	core
22	ASV23	0.000835422	2.20E-07	core
23	ASV24	0.000835422	4.45E-08	core
24	ASV25	0.000835422	2.86E-08	core
25	ASV26	0.000835422	1.93E-07	core
26	ASV27	0.000835422	2.18E-07	core
27	ASV28	0.000835422	3.28E-08	core
28	ASV29	0.000835422	1.10E-07	core
29	ASV31	0.000835422	4.15E-08	core
30	ASV32	0.000835422	7.41E-08	core
31	ASV33	0.002506266	1.31E-06	core
32	ASV34	0.000835422	3.29E-07	core
33	ASV35	0.000835422	2.45E-08	core
34	ASV36	0.003341688	1.13E-06	core
35	ASV37	0.000835422	9.29E-08	core
36	ASV38	0.000835422	8.75E-08	core
37	ASV39	0.000835422	2.17E-07	core
38	ASV40	0.01754386	3.45E-05	core
39	ASV41	0.000835422	1.66E-07	core
40	ASV42	0.000835422	2.05E-08	core
41	ASV43	0.000835422	1.25E-06	core
42	ASV44	0.000835422	3.36E-07	core
43	ASV45	0.000835422	8.19E-06	core
44	ASV46	0.000835422	1.17E-06	core
45	ASV47	0.000835422	1.32E-07	core
46	ASV48	0.000835422	7.76E-07	core
47	ASV49	0.000835422	3.23E-06	core
48	ASV50	0.000835422	2.88E-06	core
49	ASV51	0.000835422	1.12E-06	core
50	ASV52	0.000835422	6.01E-08	core
51	ASV53	0.000835422	3.26E-08	core
52	ASV54	0.003341688	3.23E-06	core
53	ASV56	0.000835422	1.33E-07	core
54	ASV57	0.001670844	9.35E-07	core
55	ASV58	0.000835422	1.51E-05	core
56	ASV59	0.000835422	9.50E-08	core
57	ASV60	0.000835422	1.74E-06	core
58	ASV61	0.000835422	3.01E-07	core
59	ASV62	0.000835422	8.40E-06	core
60	ASV63	0.000835422	8.93E-08	core
61	ASV64	0.001670844	2.87E-06	core
62	ASV65	0.000835422	1.10E-07	core
63	ASV66	0.000835422	5.11E-08	core
64	ASV67	0.000835422	1.86E-07	core
65	ASV68	0.000835422	3.79E-06	core
66	ASV69	0.000835422	1.40E-07	core
67	ASV70	0.007518797	7.77E-06	core
68	ASV71	0.002506266	1.34E-05	core
69	ASV72	0.099415205	1.37E-04	core
70	ASV73	0.000835422	4.78E-07	core
71	ASV74	0.000835422	9.56E-08	core
72	ASV75	0.000835422	4.01E-08	core
73	ASV76	0.001670844	2.15E-07	core
74	ASV77	0.000835422	4.29E-08	core
75	ASV78	0.000835422	1.02E-06	core
76	ASV79	0.000835422	5.93E-08	core
77	ASV81	0.000835422	3.82E-06	core
78	ASV82	0.000835422	8.82E-07	core
79	ASV83	0.000835422	4.24E-07	core
80	ASV84	0.000835422	1.28E-07	core
81	ASV85	0.000835422	4.28E-06	core
82	ASV86	0.000835422	1.31E-07	core
83	ASV87	0.001670844	2.32E-07	core
84	ASV88	0.000835422	3.44E-06	core
85	ASV89	0.006683375	3.46E-06	core
86	ASV90	0.000835422	2.60E-07	core
87	ASV91	0.000835422	7.08E-07	core
88	ASV92	0.056808688	2.76E-04	core
89	ASV93	0.000835422	2.88E-07	core
90	ASV94	0.000835422	2.51E-07	core
91	ASV95	0.000835422	5.92E-07	core
92	ASV96	0.000835422	4.40E-07	core
93	ASV97	0.000835422	2.70E-07	core
94	ASV98	0.000835422	1.26E-06	core
95	ASV101	0.000835422	1.21E-07	core
96	ASV102	0.000835422	1.46E-07	core
97	ASV103	0.000835422	9.31E-08	core
98	ASV104	0.000835422	1.86E-05	core
99	ASV105	0.000835422	7.72E-07	core
100	ASV106	0.002506266	6.28E-06	core
101	ASV107	0.031746032	1.60E-04	core
102	ASV108	0.000835422	6.82E-06	core
103	ASV109	0.000835422	4.24E-07	core
104	ASV110	0.000835422	1.43E-06	core
105	ASV111	0.000835422	5.55E-06	core
106	ASV112	0.000835422	1.81E-07	core
107	ASV113	0.000835422	4.37E-07	core
108	ASV114	0.000835422	1.04E-06	core
109	ASV115	0.001670844	9.61E-07	core
110	ASV116	0.000835422	6.10E-07	core
111	ASV117	0.000835422	2.26E-06	core
112	ASV118	0.000835422	1.70E-07	core
113	ASV119	0.000835422	3.87E-06	core
114	ASV120	0.000835422	1.17E-07	core
115	ASV121	0.000835422	1.96E-08	core
116	ASV122	0.000835422	1.29E-07	core
117	ASV123	0.000835422	3.55E-06	core
118	ASV124	0.000835422	3.89E-08	core
119	ASV126	0.000835422	3.05E-07	core
120	ASV127	0.000835422	1.90E-06	core
121	ASV128	0.000835422	5.77E-08	core
122	ASV129	0.000835422	3.29E-07	core
123	ASV130	0.000835422	3.96E-07	core
124	ASV131	0.000835422	9.88E-08	core
125	ASV132	0.001670844	3.80E-07	core
126	ASV134	0.000835422	1.34E-07	core
127	ASV135	0.000835422	1.47E-07	core
128	ASV136	0.000835422	1.06E-07	core
129	ASV137	0.000835422	1.44E-07	core
130	ASV138	0.000835422	6.06E-07	core
131	ASV139	0.000835422	2.44E-07	core
132	ASV140	0.003341688	1.33E-06	core
133	ASV141	0.000835422	2.92E-06	core
134	ASV142	0.000835422	5.41E-07	core
135	ASV143	0.002506266	1.13E-05	core
136	ASV144	0.009189641	1.99E-04	core
137	ASV145	0.000835422	5.83E-08	core
138	ASV146	0.000835422	1.96E-07	core
139	ASV147	0.000835422	1.24E-07	core
140	ASV148	0.000835422	1.99E-07	core
141	ASV149	0.000835422	1.14E-07	core
142	ASV150	0.126984127	9.29E-04	core
143	ASV151	0.005012531	6.41E-06	core
144	ASV152	0.000835422	8.67E-08	core
145	ASV153	0.000835422	2.33E-07	core
146	ASV154	0.01336675	3.69E-05	core
147	ASV155	0.000835422	2.71E-07	core
148	ASV156	0.000835422	1.36E-07	core
149	ASV157	0.003341688	1.09E-05	core
150	ASV158	0.000835422	8.55E-09	core
151	ASV160	0.000835422	1.20E-07	core
152	ASV161	0.000835422	2.30E-08	core
153	ASV163	0.000835422	3.23E-06	core
154	ASV164	0.000835422	8.12E-08	core
155	ASV165	0.000835422	2.14E-07	core
156	ASV167	0.001670844	8.18E-07	core
157	ASV168	0.000835422	3.88E-07	core
158	ASV169	0.001670844	6.42E-07	core
159	ASV170	0.000835422	1.09E-06	core
160	ASV171	0.000835422	1.76E-06	core
161	ASV172	0.000835422	3.96E-08	core
162	ASV173	0.000835422	2.86E-07	core
163	ASV174	0.000835422	1.06E-06	core
164	ASV175	0.001670844	1.00E-06	core
165	ASV176	0.010860485	3.54E-05	core
166	ASV177	0.000835422	6.29E-08	core
167	ASV178	0.001670844	3.83E-06	core
168	ASV179	0.000835422	3.04E-08	core
169	ASV180	0.005012531	2.52E-06	core
170	ASV181	0.000835422	1.08E-07	core
171	ASV182	0.000835422	4.38E-07	core
172	ASV183	0.000835422	1.81E-07	core
173	ASV184	0.000835422	4.40E-07	core
174	ASV185	0.001670844	1.22E-05	core
175	ASV186	0.000835422	1.06E-05	core
176	ASV187	0.002506266	2.23E-06	core
177	ASV188	0.005012531	2.96E-06	core
178	ASV189	0.002506266	8.58E-06	core
179	ASV190	0.000835422	2.00E-07	core
180	ASV191	0.000835422	6.97E-08	core
181	ASV192	0.000835422	6.62E-08	core
182	ASV193	0.000835422	8.82E-07	core
183	ASV194	0.000835422	3.18E-08	core
184	ASV195	0.000835422	5.90E-07	core
185	ASV196	0.000835422	1.79E-07	core
186	ASV197	0.000835422	4.26E-06	core
187	ASV198	0.000835422	7.38E-06	core
188	ASV199	0.000835422	1.91E-07	core
189	ASV200	0.038429407	1.91E-04	core
190	ASV201	0.000835422	1.99E-07	core
191	ASV202	0.000835422	8.48E-07	core
192	ASV203	0.000835422	1.63E-06	core
193	ASV204	0.012531328	8.39E-05	core
194	ASV205	0.000835422	5.31E-07	core
195	ASV206	0.000835422	1.46E-08	core
196	ASV207	0.000835422	1.03E-07	core
197	ASV208	0.000835422	5.41E-08	core
198	ASV209	0.000835422	9.64E-08	core
199	ASV210	0.000835422	1.59E-07	core
200	ASV211	0.000835422	1.23E-06	core
201	ASV212	0.008354219	9.17E-06	core
202	ASV213	0.004177109	4.34E-06	core
203	ASV214	0.000835422	1.35E-06	core
204	ASV215	0.000835422	1.09E-07	core
205	ASV216	0.000835422	3.17E-06	core
206	ASV217	0.000835422	4.39E-07	core
207	ASV218	0.000835422	7.74E-08	core
208	ASV219	0.000835422	1.06E-07	core
209	ASV220	0.000835422	1.04E-07	core
210	ASV221	0.007518797	4.84E-05	core
211	ASV222	0.000835422	1.17E-07	core
212	ASV223	0.000835422	1.96E-07	core
213	ASV224	0.000835422	9.06E-08	core
214	ASV225	0.000835422	3.15E-07	core
215	ASV226	0.000835422	1.47E-06	core
216	ASV227	0.001670844	5.54E-06	core
217	ASV228	0.000835422	2.10E-07	core
218	ASV229	0.000835422	3.17E-06	core
219	ASV230	0.000835422	2.94E-07	core
220	ASV231	0.003341688	4.24E-06	core
221	ASV232	0.004177109	6.57E-07	core
222	ASV233	0.000835422	3.56E-07	core
223	ASV234	0.000835422	2.85E-08	core
224	ASV235	0.000835422	1.89E-07	core
225	ASV236	0.000835422	1.33E-07	core
226	ASV237	0.000835422	7.72E-08	core
227	ASV238	0.000835422	1.11E-08	core
228	ASV239	0.000835422	1.64E-07	core
229	ASV240	0.000835422	4.32E-07	core
230	ASV241	0.000835422	2.66E-06	core
231	ASV242	0.000835422	6.05E-08	core
232	ASV243	0.01754386	5.89E-05	core
233	ASV244	0.000835422	8.00E-08	core
234	ASV245	0.000835422	5.22E-07	core
