"","predictors","MeanDecreaseGini.mean","MeanDecreaseGini.sd","MeanDecreaseGini.std.error"
"1","ASV1",0.577181310815098,0.0614227088829329,0.00614227088829329
"2","ASV10004",0.107052663391699,0.0327924997457152,0.00327924997457152
"3","ASV10014",0.0531052949670159,0.0191503837007345,0.00191503837007345
"4","ASV10040",0.198861240432891,0.0319027221991276,0.00319027221991276
"5","ASV10048",0.00139594027609817,0.00257882405421637,0.000257882405421637
"6","ASV10056",0.0824368379989364,0.019973570269367,0.0019973570269367
"7","ASV10089",0.0414986469388984,0.0149459393439333,0.00149459393439333
"8","ASV10102",0.0105626227858654,0.00588990674860356,0.000588990674860356
"9","ASV10126",0.0093348228615918,0.00582414746597483,0.000582414746597483
"10","ASV10139",0.0456161474226425,0.0149335114799169,0.00149335114799169
"11","ASV10142",0.00104875317355503,0.00179315006652887,0.000179315006652887
"12","ASV10144",0.015717354390118,0.00805565921237504,0.000805565921237504
"13","ASV10147",0.0144781421077117,0.00754424094268454,0.000754424094268454
"14","ASV10154",1.39067632858881,0.113767735198994,0.0113767735198994
"15","ASV1016",0.00504477940094933,0.00579237251639017,0.000579237251639017
"16","ASV10160",0.00500171495492634,0.00507554323857804,0.000507554323857804
"17","ASV10167",0.0160961005491631,0.0100135641683407,0.00100135641683407
"18","ASV10184",0.00110196799691537,0.00196390957574703,0.000196390957574703
"19","ASV10190",0.00572653253917239,0.00522533953632958,0.000522533953632957
"20","ASV10201",0.00485320013004998,0.00450806288832071,0.000450806288832071
"21","ASV1021",0.0362377300778516,0.0154600926739442,0.00154600926739442
"22","ASV10213",0.00226158549293843,0.00287310722890555,0.000287310722890555
"23","ASV10222",0.0888666615204491,0.01989935229279,0.001989935229279
"24","ASV10224",0.0144789975591929,0.00809259766195501,0.000809259766195501
"25","ASV10227",0.0273023966142028,0.0104221536116927,0.00104221536116927
"26","ASV10232",0.0012771270951271,0.0022932217443288,0.00022932217443288
"27","ASV10249",0.0144142226279888,0.0149729059176889,0.00149729059176889
"28","ASV10255",0.000935806758458932,0.00161350319959165,0.000161350319959165
"29","ASV1026",0.0798215861025194,0.0189397666923667,0.00189397666923667
"30","ASV10261",0.0212075688434514,0.0105074856710646,0.00105074856710646
"31","ASV10262",0.00579651826067906,0.0054521918990614,0.00054521918990614
"32","ASV10267",0.575828866908236,0.0756320972044149,0.00756320972044149
"33","ASV10274",0.015592209933738,0.0079693041180867,0.00079693041180867
"34","ASV10279",14.6204341188474,0.413341974894294,0.0413341974894294
"35","ASV10299",0.010080414080868,0.00635707740814427,0.000635707740814427
"36","ASV10306",0.0671300860213113,0.0189073757617141,0.00189073757617141
"37","ASV10325",0.0624550086066922,0.0172413534560452,0.00172413534560452
"38","ASV10334",1.18682803649967,0.0953148461471698,0.00953148461471698
"39","ASV1034",0.247757100594784,0.050591676147376,0.0050591676147376
"40","ASV10341",0.0209412170569522,0.00994589710002406,0.000994589710002406
"41","ASV10345",0.00217350231467879,0.00286027156488993,0.000286027156488993
"42","ASV10374",0.142062251726359,0.0270486936359685,0.00270486936359685
"43","ASV1038",0.347604283576441,0.0535740875335093,0.00535740875335093
"44","ASV10381",0.0469967408513867,0.0146218156387029,0.00146218156387029
"45","ASV1039",0.014871830133124,0.00787479869736598,0.000787479869736598
"46","ASV10396",0.0353219939452864,0.020954120134921,0.0020954120134921
"47","ASV1040",0.552631457623893,0.0887413019489923,0.00887413019489923
"48","ASV10400",0.0183185373797065,0.00926232635767482,0.000926232635767482
"49","ASV10413",0.629916181425532,0.09412197688354,0.009412197688354
"50","ASV10414",21.0732164512997,0.476984916516766,0.0476984916516766
"51","ASV10415",0.0404998349320684,0.0120317219789829,0.00120317219789829
"52","ASV1043",0.0826947210309987,0.0280113662272572,0.00280113662272572
"53","ASV10434",0.0902856420906493,0.0226668716673635,0.00226668716673635
"54","ASV10448",0.0768033073211859,0.0193247256061372,0.00193247256061372
"55","ASV1045",0.00881504148955226,0.0073144517002575,0.00073144517002575
"56","ASV10468",0.0340443121270716,0.0135871690979395,0.00135871690979395
"57","ASV10469",0.0130845766425827,0.00695981369801018,0.000695981369801019
"58","ASV1047",0.00169903040526725,0.00268664277288681,0.000268664277288681
"59","ASV10472",0.154651197782057,0.0413277310233565,0.00413277310233565
"60","ASV10486",0.0872246268418158,0.0204611392007349,0.00204611392007349
"61","ASV10508",0.0986004687332221,0.0211221931694632,0.00211221931694632
