"","predictors","MeanDecreaseGini.mean","MeanDecreaseGini.sd","MeanDecreaseGini.std.error"
"1","ASV1",0.601945576087763,0.147441017484214,0.0147441017484214
"2","ASV10004",0.0719104438867229,0.0467665729344991,0.00467665729344991
"3","ASV10014",0.0333523039634025,0.0360999675235483,0.00360999675235483
"4","ASV10040",0.157367138048865,0.0714451113669606,0.00714451113669606
"5","ASV10048",0.000526666666666667,0.00395178006176529,0.000395178006176529
"6","ASV10056",0.119442464746122,0.0636591093303166,0.00636591093303166
"7","ASV10089",0.0455977145906524,0.0352102791727776,0.00352102791727776
"8","ASV10102",0.00264230206256068,0.00801210002889131,0.000801210002889131
"9","ASV10126",0.149677925451998,0.0788031050410664,0.00788031050410664
"10","ASV10139",0.0396961379363251,0.0344739372807186,0.00344739372807186
"11","ASV10142",0.00164786940489467,0.00630224911707033,0.000630224911707033
"12","ASV10144",0.051976064075848,0.0420878940322333,0.00420878940322334
"13","ASV10147",0.00641845012520905,0.011643020604713,0.0011643020604713
"14","ASV10154",0.825941153798098,0.179704954215266,0.0179704954215266
"15","ASV1016",0.0014358658008658,0.00466327864515611,0.000466327864515611
"16","ASV10160",0,0,0
"17","ASV10167",0.150730279160117,0.0705069077662735,0.00705069077662735
"18","ASV10184",0.00444703524478783,0.0131360610304763,0.00131360610304763
"19","ASV10190",0.00464883613739438,0.0105704269402416,0.00105704269402416
"20","ASV10201",0.000433241758241758,0.00253836163339243,0.000253836163339243
"21","ASV1021",0.0298835568800823,0.0359485608856082,0.00359485608856082
"22","ASV10213",0.00734273614446051,0.0137485833011954,0.00137485833011954
"23","ASV10222",0.0738017702496849,0.04110430055682,0.004110430055682
"24","ASV10224",0.00147797335997336,0.00489259424927807,0.000489259424927807
"25","ASV10227",0.0483305406907033,0.0360747525643945,0.00360747525643945
"26","ASV10232",0.000133333333333333,0.00133333333333333,0.000133333333333333
"27","ASV10249",0.000333333333333333,0.00192450089729875,0.000192450089729875
"28","ASV10255",0,0,0
"29","ASV1026",0.0233403817191988,0.0252188012286611,0.00252188012286611
"30","ASV10261",0.0886890319046223,0.0522817802368402,0.00522817802368402
"31","ASV10262",0.00235424225277989,0.00637857311349874,0.000637857311349874
"32","ASV10267",0.416910368142161,0.127387023405076,0.0127387023405076
"33","ASV10274",0.00887959057804497,0.0152372889828403,0.00152372889828403
"34","ASV10279",3.23720331531,0.454059645490793,0.0454059645490793
"35","ASV10299",0.000701111111111111,0.00377406878731337,0.000377406878731337
"36","ASV10306",0.0772550130410972,0.0516506848792074,0.00516506848792074
"37","ASV10325",0.0204806814379853,0.0234730536487838,0.00234730536487838
"38","ASV10334",1.21520616384352,0.204612991706846,0.0204612991706846
"39","ASV1034",0.0731009895463752,0.0454182602527497,0.00454182602527497
"40","ASV10341",0.019476831888378,0.0238507687748564,0.00238507687748564
"41","ASV10345",0.000333333333333333,0.00192450089729875,0.000192450089729875
"42","ASV10374",0.121810832189653,0.0768096536296831,0.00768096536296831
"43","ASV1038",0.13048038940113,0.0599780015241108,0.00599780015241108
"44","ASV10381",0.0431806483948,0.0326801812447504,0.00326801812447504
