"","predictors","MeanDecreaseGini.mean","MeanDecreaseGini.sd","MeanDecreaseGini.std.error"
"1","ASV1",0.630862319383764,0.176180300771875,0.0176180300771875
"2","ASV10004",0.00577593176860979,0.0107373640789078,0.00107373640789078
"3","ASV10014",0.00668175872415673,0.0148655271370344,0.00148655271370344
"4","ASV10040",0.41739396872464,0.126451553601921,0.0126451553601921
"5","ASV10048",0,0,0
"6","ASV10056",0.145258379798443,0.0775706828057443,0.00775706828057443
"7","ASV10089",0.0247470300711595,0.0251396576605008,0.00251396576605008
"8","ASV10102",0.000538095238095238,0.00285927049207596,0.000285927049207596
"9","ASV10112",0,0,0
"10","ASV10126",0.00104433918128655,0.00444292756383244,0.000444292756383244
"11","ASV10139",0.0723316662352906,0.0417374630926267,0.00417374630926267
"12","ASV10142",0.00126657509157509,0.00603218497388697,0.000603218497388697
"13","ASV10144",0.210882340707489,0.0853073981809403,0.00853073981809403
"14","ASV10147",0.00721011854672104,0.0118178000629503,0.00118178000629503
"15","ASV10154",0.177713007330565,0.0742796461404637,0.00742796461404637
"16","ASV1016",0.000616111111111111,0.00392718910337249,0.000392718910337249
"17","ASV10160",0.000308333333333333,0.00218932403509388,0.000218932403509388
"18","ASV10167",0.000601818181818182,0.00304939507533494,0.000304939507533494
"19","ASV10184",0,0,0
"20","ASV10190",0.000416666666666667,0.00238512741214513,0.000238512741214513
"21","ASV10201",0.000533333333333333,0.00340726101281185,0.000340726101281185
"22","ASV1021",0.00670667748917749,0.0115769825631971,0.00115769825631971
"23","ASV10213",0.000133333333333333,0.00133333333333333,0.000133333333333333
"24","ASV10222",0.251683615187521,0.0968518271070939,0.00968518271070939
"25","ASV10224",0.0707040365793569,0.0480617045033455,0.00480617045033455
"26","ASV10227",0.0224291054799101,0.0237728761409245,0.00237728761409244
"27","ASV10232",0.000625,0.0030940527108194,0.00030940527108194
"28","ASV10249",0.000860606060606061,0.00418069569671359,0.000418069569671359
"29","ASV10252",0.000456818181818182,0.00268922321267747,0.000268922321267747
"30","ASV10255",0.0127059448863108,0.0199539671027748,0.00199539671027748
"31","ASV1026",0.191394261254715,0.087839949116428,0.0087839949116428
"32","ASV10261",0.00698701997429333,0.0124899843215532,0.00124899843215532
"33","ASV10262",0.000516666666666667,0.00256995285715342,0.000256995285715342
"34","ASV10267",0.010163272992562,0.0149430362620303,0.00149430362620303
"35","ASV10274",0.00181175824175824,0.0061797831758743,0.00061797831758743
"36","ASV10279",0.717754729934255,0.216775230626589,0.0216775230626589
"37","ASV10289",0.105823652493098,0.0559556892335366,0.00559556892335366
"38","ASV10299",0.0338112143209143,0.0290135133539316,0.00290135133539316
"39","ASV10306",0.0501372419183094,0.0399708269326049,0.00399708269326049
"40","ASV10325",0.0352633954218014,0.037464614923282,0.0037464614923282
"41","ASV10334",1.37236012644585,0.281413892097446,0.0281413892097446
"42","ASV1034",0.13559059738608,0.0581977021932703,0.00581977021932703
"43","ASV10341",0.255194109651221,0.114175245722874,0.0114175245722874
"44","ASV10345",0.00131333333333333,0.00516980354432049,0.000516980354432049
"45","ASV10374",0.0106158815025737,0.013753892243995,0.0013753892243995
"46","ASV1038",0.0591702272237141,0.0406087117147974,0.00406087117147974
"47","ASV10381",0.00534064235862263,0.0108123271817428,0.00108123271817428
"48","ASV1039",0.0185685175177643,0.0236515376605033,0.00236515376605033
"49","ASV10396",0.00114619047619048,0.00466981789826043,0.000466981789826043
"50","ASV1040",0.390180724540173,0.133377106516153,0.0133377106516153
"51","ASV10400",0.00424546743547216,0.0090324021098639,0.00090324021098639
"52","ASV10405",0,0,0
"53","ASV10413",0.00709371444073484,0.0126879373636307,0.00126879373636307
