"","predictors","MeanDecreaseGini.mean","MeanDecreaseGini.sd","MeanDecreaseGini.std.error"
"1","ASV1",0.398821966170749,0.127893231696196,0.0127893231696196
"2","ASV10004",0.051454232021022,0.0406539867402304,0.00406539867402304
"3","ASV10014",0.261734991407434,0.133662149569051,0.0133662149569051
"4","ASV10040",0.318026482907386,0.104293810529517,0.0104293810529517
"5","ASV10048",0,0,0
"6","ASV10056",0.032617913137023,0.0262715996724453,0.00262715996724453
"7","ASV10089",0.12049719740341,0.0590564587901233,0.00590564587901233
"8","ASV10102",0.0629047559891756,0.0491273628055684,0.00491273628055684
"9","ASV10126",0.00473584241162632,0.00962509691990206,0.000962509691990206
"10","ASV10139",0.113731125322225,0.0718303027144407,0.00718303027144407
"11","ASV10142",0,0,0
"12","ASV10144",0.00335541642917519,0.00808822984686573,0.000808822984686573
"13","ASV10147",0.0473662752364557,0.0486596653793252,0.00486596653793252
"14","ASV10154",0.540502041988768,0.149172128317917,0.0149172128317917
"15","ASV1016",0.00275665988041736,0.00856812294941873,0.000856812294941873
"16","ASV10160",0.0067557916100714,0.011847060436356,0.0011847060436356
"17","ASV10167",0.00137450254170498,0.0061910807176375,0.00061910807176375
"18","ASV10184",0.000750361197110423,0.00379598438714249,0.000379598438714249
"19","ASV10190",0,0,0
"20","ASV10201",0.0227459629807899,0.0266903423083639,0.00266903423083639
"21","ASV1021",0.156234728440251,0.0796178211778925,0.00796178211778925
"22","ASV10213",0.00016,0.0016,0.00016
"23","ASV10222",0.533607398071615,0.128969027097202,0.0128969027097202
"24","ASV10224",0.051609463600556,0.0429002433422772,0.00429002433422772
"25","ASV10227",0.00751171835775992,0.0147990586693881,0.00147990586693881
"26","ASV10232",0,0,0
"27","ASV10249",0.000690873015873016,0.00419091941854459,0.000419091941854459
"28","ASV10255",0,0,0
"29","ASV1026",0.0584694281965728,0.045458133467479,0.0045458133467479
"30","ASV10261",0.00292058802308802,0.00780917761912426,0.000780917761912426
"31","ASV10262",0.000864789196310936,0.00439072894654212,0.000439072894654212
"32","ASV10267",0.0109002890775771,0.0155618570816028,0.00155618570816028
"33","ASV10274",0.00542613194212001,0.0112366799062146,0.00112366799062146
"34","ASV10279",1.9268081324387,0.356680625017204,0.0356680625017204
