"","predictors","MeanDecreaseGini.mean","MeanDecreaseGini.sd","MeanDecreaseGini.std.error"
"1","ASV1",0.396508366295422,0.135610265995709,0.0135610265995709
"2","ASV10004",0.04275443257594,0.0350825504513048,0.00350825504513048
"3","ASV10014",0.0182119641913266,0.02287567508185,0.002287567508185
"4","ASV10040",0.417215308023297,0.12428623200398,0.012428623200398
"5","ASV10048",0,0,0
"6","ASV10056",0.0609320052537591,0.0472283751641472,0.00472283751641472
"7","ASV10089",0.0864385325634282,0.0593271856094495,0.00593271856094495
"8","ASV10102",0.0085371623856694,0.0147955216309303,0.00147955216309303
"9","ASV10112",0.000685370092585576,0.00337901281471899,0.000337901281471899
"10","ASV10139",0.142680310594662,0.0671706282449927,0.00671706282449927
"11","ASV10142",0.000184750337381958,0.00184750337381958,0.000184750337381958
"12","ASV10144",0.0482770777932231,0.0373210609372509,0.00373210609372509
"13","ASV10147",0.0109347726629402,0.0173749804067408,0.00173749804067408
"14","ASV10154",1.32187918568639,0.237621219572328,0.0237621219572328
"15","ASV1016",0.00210822628506916,0.00677058240999344,0.000677058240999344
"16","ASV10160",0.00440930009490502,0.00981174311728465,0.000981174311728465
"17","ASV10167",0.0129645778063334,0.0193907687510132,0.00193907687510132
"18","ASV10184",0.00249541882665688,0.00819836854814383,0.000819836854814383
"19","ASV10201",0.00487338144818614,0.0102032621915514,0.00102032621915514
"20","ASV1021",0.01179372326855,0.0177721526571508,0.00177721526571508
"21","ASV10213",0.00164465805874646,0.00616801375336174,0.000616801375336174
"22","ASV10224",0.0047938739827951,0.0118400540966549,0.00118400540966549
"23","ASV10227",0.027333426989459,0.0273921404375108,0.00273921404375108
"24","ASV10232",0.000355156844952137,0.00250457064798106,0.000250457064798106
"25","ASV10252",0.00188740651637224,0.00543977999449507,0.000543977999449507
"26","ASV10255",0.00463695014379294,0.0108054924573794,0.00108054924573794
"27","ASV1026",0.0717687275133788,0.0448830489938597,0.00448830489938597
"28","ASV10261",0.123248458987774,0.0631841550928931,0.00631841550928931
"29","ASV10262",0.00160249179359012,0.0057697938764579,0.00057697938764579
"30","ASV10267",0.0900583285471697,0.0643419390766701,0.00643419390766701
"31","ASV10274",0.0227512924312099,0.0255452044121665,0.00255452044121665
"32","ASV10279",2.40615367178248,0.411105690373197,0.0411105690373197
"33","ASV10289",0.017417945097294,0.024846211575658,0.0024846211575658
"34","ASV10299",0.0178165575942022,0.0208751115926749,0.00208751115926749
"35","ASV10306",0.0881717602810022,0.0513292101790501,0.00513292101790501
"36","ASV10325",0.064473086021963,0.0600777730949122,0.00600777730949122
"37","ASV10334",0.949569550218447,0.192670726683258,0.0192670726683258
"38","ASV1034",0.1681480621537,0.0674595714827208,0.00674595714827208
"39","ASV10341",0.0275299372045677,0.0304459153798309,0.00304459153798309
"40","ASV10345",0.00133417008797654,0.00648214977129421,0.000648214977129421
"41","ASV10374",0.193816595815876,0.0972090417329931,0.00972090417329931
"42","ASV1038",0.345102288034621,0.121927115610113,0.0121927115610113
"43","ASV10381",0.0652075120963236,0.0503464493648297,0.00503464493648297
"44","ASV1039",0.0133322561717009,0.0205506851286261,0.00205506851286261
"45","ASV10396",0.0112639966805438,0.0185602749150047,0.00185602749150047
"46","ASV1040",0.260970435003828,0.12113410352537,0.012113410352537
"47","ASV10405",0.00171965970544511,0.00549937834317203,0.000549937834317203
"48","ASV10413",0.0484299817356451,0.0438028224383897,0.00438028224383897
"49","ASV10414",6.70264270381409,0.509877508111343,0.0509877508111343
"50","ASV10415",0.0830562787619921,0.050981617813575,0.0050981617813575
"51","ASV1043",0.0674703470961304,0.0606929867690743,0.00606929867690743
"52","ASV10434",0.060267226027613,0.0431317802230212,0.00431317802230212
"53","ASV10448",0.0638863350884132,0.0497801818088652,0.00497801818088652
"54","ASV1045",0.0021836163143057,0.00799368547810105,0.000799368547810105
"55","ASV10468",0.0490402397166573,0.0423761866218354,0.00423761866218354
"56","ASV10469",0.00511481843953893,0.0120578855628309,0.00120578855628309
"57","ASV1047",0.000654083291435965,0.00380304696188758,0.000380304696188758
"58","ASV10472",0.0590789055311247,0.0509585907326862,0.00509585907326862
"59","ASV10486",0.0976965986281162,0.0605656816707992,0.00605656816707992
"60","ASV10508",0.180640590440364,0.0918047118948883,0.00918047118948883
"61","ASV10517",0.341992603850039,0.124676563648428,0.0124676563648428
"62","ASV10531",0.0890545466670308,0.0533540955094092,0.00533540955094092
"63","ASV10539",0.00907673339979955,0.0168504278957495,0.00168504278957495
"64","ASV10542",0.358611948779641,0.11323128011979,0.011323128011979
"65","ASV10547",0.0235850164417584,0.026123952353701,0.0026123952353701
"66","ASV10550",0.192065427794822,0.103134565592069,0.0103134565592069
"67","ASV10558",0.206083518574337,0.0963300046079814,0.00963300046079814
"68","ASV10563",0.055764582599199,0.0509737872419438,0.00509737872419438
"69","ASV10566",0.00306124959230923,0.00899167984378865,0.000899167984378865
"70","ASV10577",0.00703371812441244,0.0146445393473105,0.00146445393473105
"71","ASV10582",0.00234110447956119,0.00711232714975567,0.000711232714975567
"72","ASV106",0.00904148995465219,0.018675008930929,0.0018675008930929
"73","ASV10607",0.00400033533118778,0.0135217555058083,0.00135217555058083
"74","ASV10613",0.0093154190512426,0.0174563344010255,0.00174563344010255
"75","ASV1062",0.133404569169591,0.0761511704958669,0.00761511704958669
"76","ASV10625",0.0358136183350116,0.0313241980533709,0.00313241980533709
"77","ASV10628",0.00378087019276276,0.00927836746742687,0.000927836746742687
"78","ASV10635",3.62073383562066,0.494118554950279,0.0494118554950279
"79","ASV1066",0.00321016318795802,0.00875264306855765,0.000875264306855765
"80","ASV10664",0.0857133912876223,0.0502281929291307,0.00502281929291307
"81","ASV10672",0.025468169133541,0.0274227632596401,0.00274227632596401
"82","ASV10675",0.181426557463831,0.0787388301451334,0.00787388301451334
"83","ASV10694",2.54922139971515,0.305745808499076,0.0305745808499076
"84","ASV10697",0.0330926540732692,0.034450526796843,0.0034450526796843
"85","ASV107",0.201722913711617,0.0910164567527059,0.00910164567527058
"86","ASV10707",0.0522996695412648,0.0500211079250747,0.00500211079250747
"87","ASV1071",0.327799880135661,0.0949150317410736,0.00949150317410736
"88","ASV10710",2.18498105133615,0.51620207994631,0.051620207994631
"89","ASV10718",1.97320951801916,0.38501330444054,0.0385013304440541
"90","ASV10721",0.0846763669550518,0.047747691336264,0.0047747691336264
"91","ASV10727",0.0337155079323863,0.0339257452686994,0.00339257452686994
"92","ASV10751",0.0231966437937115,0.0270190895690463,0.00270190895690463
"93","ASV10760",0.734945383007712,0.190259086537332,0.0190259086537332
"94","ASV10769",0.778913790063528,0.225422506105181,0.0225422506105181
"95","ASV10784",0.250243516388086,0.0854233347015655,0.00854233347015655
"96","ASV10785",1.85491648536367,0.323613895922824,0.0323613895922824
"97","ASV10788",0.0808941941700822,0.0569797062860383,0.00569797062860383
"98","ASV10794",0.510010760969738,0.12180121824754,0.012180121824754
"99","ASV10796",0.38958026761439,0.111247779988699,0.0111247779988699
"100","ASV10797",0.000283333333333333,0.00199684093942751,0.000199684093942751
"101","ASV10799",0.00775732683921631,0.0149843720406064,0.00149843720406064
"102","ASV10800",0.0129261910318971,0.0193703738030903,0.00193703738030903
"103","ASV10803",0.00626817299868353,0.0143719210665443,0.00143719210665443
"104","ASV10806",0.0035388705126169,0.00933333234882299,0.000933333234882299
"105","ASV10814",0.00100345891345895,0.00471546565244851,0.000471546565244851
"106","ASV10824",0.144844395257516,0.0694384392972411,0.00694384392972411
"107","ASV10826",0.00459412864884202,0.0103231677459911,0.00103231677459911
"108","ASV10832",0.0852509081993315,0.0504093031933876,0.00504093031933875
"109","ASV10835",0.02287164096922,0.0354481174014266,0.00354481174014266
"110","ASV10840",0.00846416313969391,0.0142956754143278,0.00142956754143278
"111","ASV10846",1.39933016772736,0.279032627178564,0.0279032627178564
"112","ASV10857",0.000316666666666671,0.00225599338936081,0.000225599338936081
"113","ASV10858",0.552105169814474,0.197796047606718,0.0197796047606718
"114","ASV10864",0.321600518569365,0.0982741596339419,0.00982741596339419
"115","ASV1087",0.304245846472875,0.112633543978079,0.0112633543978079
"116","ASV10873",2.00497620461791,0.370326008256013,0.0370326008256013
"117","ASV10881",2.4537411661162,0.41464103856849,0.041464103856849
"118","ASV10900",0,0,0
"119","ASV10901",0.136380039412419,0.0643514684377752,0.00643514684377752
"120","ASV10914",0.0602008378385738,0.0574363889456007,0.00574363889456007
"121","ASV10926",0.0182530271371759,0.0214470487615754,0.00214470487615754
"122","ASV10944",0.131112444196436,0.0771421150080169,0.00771421150080169
"123","ASV10958",0.0132118002792936,0.0185626451922213,0.00185626451922213
"124","ASV10990",0.044021509201452,0.0338587622430268,0.00338587622430268
"125","ASV1101",0.0132561487944203,0.0178006537362106,0.00178006537362106
"126","ASV11014",0.0487585909921825,0.0430830330758165,0.00430830330758165
"127","ASV11039",0,0,0
"128","ASV11044",4.06993233496405,0.515631206104913,0.0515631206104913
"129","ASV11048",0.0265384508423968,0.0362057348275206,0.00362057348275206
"130","ASV11054",0.0134480306589392,0.0185250576062289,0.00185250576062289
"131","ASV11066",0.00255613041617951,0.00793578769902845,0.000793578769902845
"132","ASV11077",0.00200548815387156,0.00749991932554884,0.000749991932554884
"133","ASV11082",0.086188668080949,0.0579126062369852,0.00579126062369852
"134","ASV11100",0.696583858956519,0.241652950654519,0.0241652950654519
"135","ASV11112",0.000233333333333333,0.00165856617318748,0.000165856617318748
"136","ASV11113",0.118193788773528,0.0752880904167564,0.00752880904167564
"137","ASV11118",0.0473797335200114,0.035353430954289,0.0035353430954289
"138","ASV11120",0.174643297888085,0.0876771891281269,0.00876771891281269
"139","ASV11125",0.132920074365192,0.0787378554193364,0.00787378554193364
"140","ASV11129",0.00728419479607775,0.0133443129453554,0.00133443129453554
"141","ASV11142",0.0176112181259485,0.0206945075513795,0.00206945075513795
"142","ASV11143",3.99621331898746,0.628045083815597,0.0628045083815597
"143","ASV11145",0.155414823618916,0.0828441899604239,0.00828441899604239
"144","ASV11146",0.123763626263536,0.0726347302568899,0.00726347302568899
"145","ASV11150",0.0611206487650349,0.0438078630933682,0.00438078630933682
"146","ASV11153",0.0415397368104228,0.0365680862016777,0.00365680862016777
"147","ASV11170",0.026249104561252,0.0269427550953894,0.00269427550953894
"148","ASV11171",0.397312698585654,0.107001981576743,0.0107001981576743
"149","ASV11181",0.190985473738481,0.0797929116707519,0.0079792911670752
"150","ASV11184",2.35404555029289,0.392963123936112,0.0392963123936112
"151","ASV11196",0.0948498708309123,0.0568381830838534,0.00568381830838534
"152","ASV1120",0.0102448621539545,0.015867269803592,0.0015867269803592
"153","ASV11203",0.000311111111111112,0.00311111111111112,0.000311111111111112
"154","ASV11226",0.0260203922417572,0.025419886380123,0.0025419886380123
"155","ASV11231",0.0962234840222759,0.0815420083149263,0.00815420083149264
"156","ASV11233",0.0765446270956835,0.0505448565229029,0.00505448565229029
"157","ASV11239",0.000698452380952386,0.0037692511328936,0.00037692511328936
