"","predictors","MeanDecreaseGini.mean","MeanDecreaseGini.sd","MeanDecreaseGini.std.error"
"1","ASV1",0.115475373922535,0.060369367432528,0.0060369367432528
"2","ASV10004",0.0654312506651232,0.05124833535034,0.005124833535034
"3","ASV10014",0.023939415349842,0.0326135887391991,0.00326135887391991
"4","ASV10040",0.130919592121217,0.0716124256891045,0.00716124256891045
"5","ASV10048",0.00470913514967868,0.0109691398590819,0.00109691398590819
"6","ASV10056",0.0166724447402035,0.0236516766684344,0.00236516766684344
"7","ASV10089",0.0494188461107357,0.0406948980731925,0.00406948980731925
"8","ASV10102",0.0244618037326189,0.0244956447159946,0.00244956447159946
"9","ASV10112",0.00101575858250277,0.00406078936853817,0.000406078936853817
"10","ASV10139",0.0272904045223145,0.0274584567914217,0.00274584567914217
"11","ASV10142",0.000711875221552641,0.00427462478965774,0.000427462478965774
"12","ASV10144",0.0562907909916371,0.0393856821429896,0.00393856821429896
"13","ASV10147",0.00224955846019602,0.00626284784271559,0.000626284784271559
"14","ASV10154",0.886156814521156,0.218706646277606,0.0218706646277606
"15","ASV1016",0.000932112204714945,0.00547195150088583,0.000547195150088583
"16","ASV10160",0.00634481849395691,0.0136916901389824,0.00136916901389824
"17","ASV10167",0.0179925728286707,0.0238970961323694,0.00238970961323694
"18","ASV10184",0.000804536346796784,0.00474062492758319,0.000474062492758319
"19","ASV1021",0.0200474341014357,0.0248143812468335,0.00248143812468335
"20","ASV10222",0.0682835205087608,0.0418460838178541,0.00418460838178541
"21","ASV10224",0.00375134986606941,0.00896462854710731,0.000896462854710731
"22","ASV10227",0.070830172404614,0.0461018696287217,0.00461018696287217
"23","ASV10232",0.00024,0.0024,0.00024
"24","ASV10242",0.0110372220708341,0.0181913340185923,0.00181913340185923
"25","ASV10249",0.00321620693377524,0.0111579289706705,0.00111579289706705
"26","ASV10252",0.00099572238060043,0.00451685457769995,0.000451685457769995
"27","ASV1026",0.129951846772456,0.0596475860986529,0.00596475860986529
"28","ASV10261",0.00118061079053366,0.00488578505728329,0.000488578505728329
"29","ASV10262",0.00661026238586092,0.0120211324618842,0.00120211324618842
"30","ASV10267",0.251685240827791,0.171364722526787,0.0171364722526787
"31","ASV10272",0.0196586431148986,0.0257962714529475,0.00257962714529475
"32","ASV10274",0.00749157007171995,0.0141828823304178,0.00141828823304178
"33","ASV10279",3.08672497048557,0.447278840775681,0.0447278840775681
"34","ASV10289",0.0230708698206872,0.0251419894495608,0.00251419894495608
"35","ASV10299",0.00355383288099734,0.0101039211063861,0.00101039211063861
"36","ASV10306",0.0571293116863063,0.0402481551923546,0.00402481551923546
"37","ASV10307",0.0162818594388192,0.0232631899686071,0.00232631899686071
"38","ASV10325",0.0571604589166184,0.0403342546342209,0.00403342546342209
"39","ASV10334",0.741992487090312,0.223638216391693,0.0223638216391693
"40","ASV1034",0.156035725772247,0.0800535657073047,0.00800535657073047
"41","ASV10341",0.0228610399740185,0.0253372286664016,0.00253372286664016
"42","ASV10345",0.000905555555555556,0.00421078772422822,0.000421078772422822
"43","ASV10374",0.161599281071638,0.0866414176629487,0.00866414176629486
"44","ASV1038",0.287473476489786,0.126587962069334,0.0126587962069334
"45","ASV10381",0.159024787011444,0.0687169178336409,0.00687169178336409
"46","ASV1039",0.00998064918131166,0.0186566230869607,0.00186566230869607
"47","ASV10396",0.0227375200570074,0.0259737796160431,0.00259737796160431
"48","ASV1040",0.281601601859741,0.146669869640294,0.0146669869640294
"49","ASV10400",0.00410141044200824,0.0101980564543528,0.00101980564543528
"50","ASV10405",0.00183143359741665,0.00607033431349926,0.000607033431349926
"51","ASV10413",0.201496659685933,0.125453462999797,0.0125453462999797
