"","predictors","MeanDecreaseGini.mean","MeanDecreaseGini.sd","MeanDecreaseGini.std.error"
"1","ASV1",0.535393121826439,0.159404120551408,0.0159404120551408
"2","ASV10004",0.0645537022447256,0.0390007820536507,0.00390007820536507
"3","ASV10014",0.0383466052338266,0.0368386723846105,0.00368386723846105
"4","ASV10040",0.0825199603484333,0.0484300605687638,0.00484300605687638
"5","ASV10048",0.000882999542136963,0.00567860486381172,0.000567860486381172
"6","ASV10056",0.0593535413897101,0.0435049892988024,0.00435049892988024
"7","ASV10089",0.0260012662062124,0.0271203454663375,0.00271203454663375
"8","ASV10102",0.0129698162302174,0.0167852723806987,0.00167852723806987
"9","ASV10112",0.00157724960970828,0.00562201832020252,0.000562201832020252
"10","ASV10126",0.0263148340917708,0.0257429759722444,0.00257429759722444
"11","ASV10139",0.0934981697333949,0.0504832212028017,0.00504832212028017
"12","ASV10142",0.00105280654197163,0.00541442749869806,0.000541442749869806
"13","ASV10144",0.110840515238997,0.0545975581957789,0.00545975581957789
"14","ASV10147",0.00769453802744934,0.0156578969368733,0.00156578969368733
"15","ASV10154",1.13861557304779,0.321495796066071,0.0321495796066071
"16","ASV1016",0.000320833333333333,0.00228973747999039,0.000228973747999039
"17","ASV10160",0.0159894250239737,0.0222893994104612,0.00222893994104612
"18","ASV10167",0.0467634174033782,0.042595812331726,0.0042595812331726
"19","ASV10184",0.000646611101117307,0.00321249316558924,0.000321249316558924
"20","ASV10190",0.0102531231521698,0.0164580283222457,0.00164580283222457
"21","ASV10201",0.01222306969558,0.0185405523345882,0.00185405523345882
"22","ASV1021",0.0382106125991367,0.0329356291298799,0.00329356291298799
"23","ASV10213",0.00862736932208415,0.0144374371286372,0.00144374371286372
"24","ASV10222",0.0215603018381692,0.023430289321441,0.0023430289321441
"25","ASV10224",0.00263896007065246,0.00862731436395715,0.000862731436395715
"26","ASV10227",0.0388478088691745,0.0344555051312986,0.00344555051312986
"27","ASV10232",0.000315441176470588,0.00222192362545558,0.000222192362545558
"28","ASV10249",0.0495559585550503,0.0586093194077715,0.00586093194077715
"29","ASV10252",0.000508611111111111,0.00370205707293502,0.000370205707293502
"30","ASV10255",0.00810881588431599,0.0136921116242414,0.00136921116242414
"31","ASV1026",0.0972694198004117,0.054771641024072,0.0054771641024072
"32","ASV10261",0.195420551158632,0.0803459173644241,0.00803459173644241
"33","ASV10262",0.00633030611420885,0.0116078765798984,0.00116078765798984
"34","ASV10267",0.0791521013216367,0.0542122247756843,0.00542122247756843
"35","ASV10274",0.0414255636564991,0.046264638751449,0.0046264638751449
"36","ASV10279",1.99213749093449,0.369497823125424,0.0369497823125424
"37","ASV10289",0.0210053073554254,0.0221413851530474,0.00221413851530474
"38","ASV10299",0.00152281880239094,0.00574538428056122,0.000574538428056122
"39","ASV10306",0.118820666996989,0.0625297186995915,0.00625297186995915
"40","ASV10325",0.0680498753691422,0.0587787468806015,0.00587787468806015
"41","ASV10334",0.599461417755462,0.149066476175817,0.0149066476175817
"42","ASV1034",0.39068015223917,0.125171245654498,0.0125171245654498
"43","ASV10341",0.0151465600643452,0.019740116842072,0.0019740116842072
"44","ASV10345",0.00286338811696043,0.00931376588374813,0.000931376588374813
"45","ASV10374",0.181147032428214,0.0925228116271617,0.00925228116271617
"46","ASV1038",0.326974281005646,0.125716913204615,0.0125716913204615
"47","ASV10381",0.113244767200336,0.053935830726219,0.0053935830726219
