"","predictors","MeanDecreaseGini.mean","MeanDecreaseGini.sd","MeanDecreaseGini.std.error"
"1","ASV1",0.672376835316196,0.0740540830293786,0.00740540830293786
"2","ASV10004",0.0370817030996877,0.0137355246224423,0.00137355246224423
"3","ASV10014",0.0518667678380254,0.020583112563433,0.0020583112563433
"4","ASV10040",0.198014922901815,0.0333533641845113,0.00333533641845113
"5","ASV10048",0,0,0
"6","ASV10056",0.0909473724881616,0.0246828184507387,0.00246828184507387
"7","ASV10089",0.0275599114775223,0.0125781066627966,0.00125781066627966
"8","ASV10102",0.0036669911698547,0.00374341421371026,0.000374341421371026
"9","ASV10126",0.0614838799971918,0.0183988463377243,0.00183988463377243
"10","ASV10139",0.0573801861106811,0.0167066788650079,0.00167066788650079
"11","ASV10142",3.42857142857143e-05,0.000342857142857143,3.42857142857143e-05
"12","ASV10144",0.00266730291725669,0.0032977744831763,0.00032977744831763
"13","ASV10147",0.0168064624821705,0.00970902803705729,0.000970902803705729
"14","ASV10154",1.30025086061216,0.123383109519521,0.0123383109519521
"15","ASV1016",0.000793078775255246,0.00196514281943385,0.000196514281943385
"16","ASV10160",0.00105110265270295,0.00227527306672032,0.000227527306672032
"17","ASV10167",0.00103452226990087,0.00204801812966217,0.000204801812966217
"18","ASV10184",0.000201333333333333,0.000773348426649413,7.73348426649413e-05
"19","ASV10190",0.00444908410306596,0.00535258840192911,0.000535258840192911
"20","ASV10201",0.0185652894930938,0.00989359430903009,0.000989359430903009
"21","ASV1021",0.0617200402519704,0.0214150037312526,0.00214150037312526
"22","ASV10213",3.2e-05,0.00032,3.2e-05
"23","ASV10222",0.0952402356002285,0.0222052740868112,0.00222052740868112
"24","ASV10224",0.0297861479773889,0.0128124759700899,0.00128124759700899
"25","ASV10227",0.00714419180281752,0.00555592403669111,0.000555592403669111
"26","ASV10232",0.000168126984126984,0.000883723271238641,8.83723271238641e-05
"27","ASV10249",0.00148057742408207,0.0024792815299867,0.00024792815299867
"28","ASV10255",0.00979767249118537,0.00755580826557637,0.000755580826557637
"29","ASV1026",0.102689942885886,0.0211514867058346,0.00211514867058346
"30","ASV10261",0.0556124281034206,0.018333291156266,0.0018333291156266
"31","ASV10262",0.000608147853323897,0.00146492287524374,0.000146492287524374
"32","ASV10267",0.135315828571767,0.0294727308436759,0.00294727308436759
"33","ASV10274",0.0119224076178272,0.00853027963664827,0.000853027963664827
"34","ASV10279",2.82835660628866,0.225527704526406,0.0225527704526406
"35","ASV10299",0.0094723539088748,0.00769199317921254,0.000769199317921254
"36","ASV10306",0.0975084537420836,0.0235184328692487,0.00235184328692487
"37","ASV10325",0.0665733441073507,0.021926712308379,0.0021926712308379
"38","ASV10334",1.27733799784164,0.106585547671686,0.0106585547671686
"39","ASV1034",0.156994016652344,0.0300409864222304,0.00300409864222304
"40","ASV10341",0.106212927509186,0.0294031025462002,0.00294031025462002
"41","ASV10345",0.000600655122655123,0.00149305765922271,0.000149305765922271
"42","ASV10374",0.04252759362664,0.0156492294182856,0.00156492294182856
"43","ASV1038",0.372166360563437,0.041660729619492,0.0041660729619492
"44","ASV10381",0.0629373924271511,0.0188022227607712,0.00188022227607712
"45","ASV1039",0.0180047973161187,0.0100738778253728,0.00100738778253728
"46","ASV10396",0.00218566663799248,0.00318382433757816,0.000318382433757816
"47","ASV1040",0.184071158260449,0.0429278786698891,0.00429278786698891
"48","ASV10400",0.0231075169793431,0.0116077455399811,0.00116077455399811
"49","ASV10413",0.0196134039511794,0.00961930744176789,0.000961930744176789
"50","ASV10414",21.6460758262009,0.428738714591782,0.0428738714591782
"51","ASV10415",0.0451258213466606,0.0148669273296164,0.00148669273296164
"52","ASV1043",0.00807900311636764,0.00568479602004896,0.000568479602004896
"53","ASV10434",0.062718345013598,0.0189219112648553,0.00189219112648553
"54","ASV10448",0.0742485343096153,0.020294407782423,0.0020294407782423
"55","ASV1045",0.00188455092926593,0.00246500554780566,0.000246500554780566
"56","ASV10468",0.0463497473913489,0.0159427560706503,0.00159427560706503
"57","ASV10469",0.00475555562043106,0.00449403623498235,0.000449403623498235
"58","ASV1047",0.000120363636363636,0.000609879015066988,6.09879015066988e-05
"59","ASV10472",0.437102714875198,0.0745978620368856,0.00745978620368856
"60","ASV10486",0.0193918885111659,0.010263006115042,0.0010263006115042
"61","ASV10508",0.188531345584992,0.0307277885930693,0.00307277885930693
"62","ASV10517",0.129892088905224,0.0300287329407396,0.00300287329407396
"63","ASV10531",0.0755432975932716,0.0194018221966703,0.00194018221966703
"64","ASV10539",0.00100080919829094,0.00197031450717758,0.000197031450717758
"65","ASV10542",0.0539860268888571,0.01641335102935,0.001641335102935
"66","ASV10547",0.0360217111782865,0.0147876540498289,0.00147876540498289
"67","ASV10550",0.10532888436764,0.0260136096276635,0.00260136096276635
"68","ASV10558",0.339382066017012,0.0695321959230885,0.00695321959230885
"69","ASV10563",0.192654671545864,0.0507563123921459,0.00507563123921459
"70","ASV10566",0.000878966810966811,0.00184301902903628,0.000184301902903628
"71","ASV10577",0.00286826879799044,0.00404665888509996,0.000404665888509996
"72","ASV10582",0.00173718150545107,0.00251585910725241,0.000251585910725241
"73","ASV106",0.0125316649473476,0.0080846132381365,0.00080846132381365
"74","ASV10607",0.000238888888888889,0.000811295583468861,8.11295583468861e-05
"75","ASV10608",0.056005690215022,0.018467155765597,0.0018467155765597
"76","ASV10613",0.00163050698252556,0.00231568558640667,0.000231568558640667
"77","ASV1062",0.0145126648559351,0.00856618757304356,0.000856618757304356
"78","ASV10625",0.0538119839096862,0.0230085815156863,0.00230085815156863
"79","ASV10628",0.00734240633529627,0.0059514273372553,0.00059514273372553
"80","ASV10635",10.3054392793955,0.416211768696313,0.0416211768696313
"81","ASV1066",0.00073258707958708,0.00172722082794659,0.000172722082794659
"82","ASV10664",0.334409781346489,0.0629524730697635,0.00629524730697635
"83","ASV10672",0.0219169270949414,0.0124612954112842,0.00124612954112842
"84","ASV10675",0.0699537214001845,0.0213476482561437,0.00213476482561437
"85","ASV10694",6.63459056276347,0.482476089830159,0.0482476089830159
"86","ASV10697",0.00441859049577376,0.00414615932971399,0.000414615932971399
"87","ASV10699",0.0134691664358196,0.00765484153338507,0.000765484153338507
"88","ASV107",0.161600642320945,0.0336606960360838,0.00336606960360838
"89","ASV10707",0.00425128392072008,0.00396812216736281,0.000396812216736281
"90","ASV1071",0.162358637403809,0.0265486280198093,0.00265486280198093
