"","predictors","MeanDecreaseGini.mean","MeanDecreaseGini.sd","MeanDecreaseGini.std.error"
"1","ASV1",0.333202337164535,0.118665160279875,0.0118665160279875
"2","ASV10004",0.0337209079651802,0.0336465632737997,0.00336465632737997
"3","ASV10014",0.00375588767463233,0.00794964324863736,0.000794964324863736
"4","ASV10040",0.221056314476916,0.0907706667090503,0.00907706667090503
"5","ASV10048",0.00402351407497461,0.00988574279483358,0.000988574279483358
"6","ASV10056",0.182882729106686,0.0871368166432078,0.00871368166432078
"7","ASV10089",0.016041895292003,0.0212353956930841,0.00212353956930841
"8","ASV10102",0.00051700956937799,0.00297402398764879,0.000297402398764879
"9","ASV10112",0.0170519776266954,0.0267613418474602,0.00267613418474602
"10","ASV10132",0.000527619047619048,0.00280225194361126,0.000280225194361126
"11","ASV10139",0.0342082122362148,0.0319958861000937,0.00319958861000937
"12","ASV10142",0.000563809523809524,0.00419116877393526,0.000419116877393526
"13","ASV10144",0.00206012364068575,0.00625101810685418,0.000625101810685418
"14","ASV10147",0.0143653669925326,0.0220553346655936,0.00220553346655936
"15","ASV10154",0.543471832272314,0.199886592561273,0.0199886592561273
"16","ASV1016",0.0022094264395735,0.00644587922652487,0.000644587922652487
"17","ASV10160",0.000913333333333333,0.00343534804082733,0.000343534804082733
"18","ASV10167",0.00986018462343973,0.0170776604919734,0.00170776604919734
"19","ASV10201",0.0157664805985724,0.0195825297501623,0.00195825297501623
"20","ASV1021",0.0752189280265923,0.0440675312664156,0.00440675312664156
"21","ASV10213",0.000446610169491525,0.00264309568102364,0.000264309568102364
"22","ASV10224",0.0482580571319084,0.039598070456803,0.0039598070456803
"23","ASV10227",0.0104199042005595,0.0164484383528048,0.00164484383528048
"24","ASV10232",0.000985,0.00365640552275064,0.000365640552275064
"25","ASV10252",0.00141738095238095,0.00548481393821836,0.000548481393821836
"26","ASV1026",0.0462537045161067,0.0329464233157707,0.00329464233157707
"27","ASV10261",0.00531616710167473,0.0127240217420223,0.00127240217420223
"28","ASV10262",0.00108264957264957,0.00465851607085027,0.000465851607085027
"29","ASV10267",0.107511612134101,0.0737254723172407,0.00737254723172407
"30","ASV10272",0.0242609359234335,0.0243767047776328,0.00243767047776328
"31","ASV10274",0.0541195879002042,0.0414880095570129,0.0041488009557013
"32","ASV10279",1.01170200243138,0.228242699814276,0.0228242699814276
"33","ASV10289",0.0096612054827539,0.014835240767287,0.0014835240767287
"34","ASV10299",0.0196551883445216,0.0249562582736348,0.00249562582736348
"35","ASV10306",0.0512400961740574,0.0347741230824846,0.00347741230824846
"36","ASV10307",0.00789489825651949,0.0126799316444838,0.00126799316444838
"37","ASV10325",0.0508423926246195,0.0516008527951489,0.00516008527951489
"38","ASV10334",0.6371040064924,0.183903452663331,0.0183903452663331
"39","ASV1034",0.127118350809151,0.0771038525335589,0.00771038525335589
"40","ASV10341",0.00833555486485723,0.0175728721279579,0.00175728721279579
"41","ASV10345",0.00123181818181818,0.00520452278726091,0.000520452278726091
"42","ASV10348",0.00204069725944708,0.00703447015713621,0.000703447015713621
"43","ASV10363",0.00171860400839426,0.00500289309069706,0.000500289309069706
"44","ASV10374",0.088672658127649,0.0617765762977835,0.00617765762977835
"45","ASV1038",0.0903055526306444,0.0505039476041919,0.00505039476041919
"46","ASV10381",0.0239328246091983,0.0272447356089789,0.00272447356089789
"47","ASV1039",0.00686484963262458,0.0137596788434628,0.00137596788434628
"48","ASV10396",0.00563800558996556,0.0107471473145375,0.00107471473145375
"49","ASV1040",0.0316878182045508,0.0280273469162873,0.00280273469162873
"50","ASV10400",0.00368666512153056,0.00930457373239208,0.000930457373239208
"51","ASV10405",0.00015,0.0015,0.00015
"52","ASV10413",0.017710556944351,0.0236549389597558,0.00236549389597558
"53","ASV10414",5.2320804233507,0.493147508980388,0.0493147508980388
"54","ASV10415",0.0242977731503818,0.0266952342554167,0.00266952342554167
"55","ASV1043",0.0530029900258345,0.0423586453165781,0.00423586453165781
"56","ASV10434",0.0437193881695095,0.0376619614818371,0.00376619614818371
"57","ASV10448",0.0291617225473535,0.0315818832140043,0.00315818832140043
"58","ASV1045",0.00446731721181864,0.0137774719256587,0.00137774719256587
"59","ASV10468",0.0154957541768479,0.0179583064767939,0.00179583064767939
"60","ASV10469",0.00504214306807316,0.013269063199669,0.0013269063199669
"61","ASV1047",0.00103880897515909,0.00568950386859581,0.000568950386859581
"62","ASV10472",0.0184196900964642,0.0234041847079322,0.00234041847079322
"63","ASV10486",0.0425855215594518,0.0352216613733881,0.00352216613733881
"64","ASV10487",0.00202464196431146,0.00648734140617584,0.000648734140617584
"65","ASV10508",0.0927616585058799,0.0483961200040118,0.00483961200040118
"66","ASV10517",0.17038159766218,0.0929438082164177,0.00929438082164177
"67","ASV10531",0.139851426452393,0.0609488613592912,0.00609488613592912
"68","ASV10539",0.00940618484613818,0.0171910681761949,0.00171910681761949
"69","ASV10542",0.0170836561566582,0.0218444935204716,0.00218444935204716
"70","ASV10547",0.00286509374123535,0.00835960973591552,0.000835960973591552
"71","ASV10550",0.0440956999956935,0.0387775857338476,0.00387775857338476
"72","ASV10558",0.0643364014112487,0.0623310739590747,0.00623310739590747
"73","ASV10566",0.00121991341991342,0.00496121146344799,0.000496121146344799
"74","ASV10577",0.00201845265690119,0.00608264576750529,0.000608264576750529
"75","ASV10582",0,0,0
"76","ASV106",0.0116924303140319,0.0183416349240515,0.00183416349240515
"77","ASV10613",0.0010337082289056,0.00481596910824561,0.000481596910824561
"78","ASV10618",0.000751515151515151,0.00487832872035867,0.000487832872035867
"79","ASV1062",0.0144669919038349,0.0180213580289682,0.00180213580289682
"80","ASV10625",0.00530224768852548,0.0117103197432748,0.00117103197432748
"81","ASV10628",0.00453181127015089,0.0105982739234549,0.00105982739234549
"82","ASV10635",2.37968447812896,0.377675767315721,0.0377675767315721
"83","ASV1066",0.00090671679197995,0.00440140782291817,0.000440140782291817
"84","ASV10664",0.0286878158269833,0.0299850295704601,0.00299850295704601
"85","ASV10672",0.00433867900664085,0.0104355343605946,0.00104355343605946
"86","ASV10675",0.177815233175985,0.0717528307065925,0.00717528307065925
"87","ASV10680",0.00025,0.00179435140641318,0.000179435140641318
"88","ASV10694",1.46576121033309,0.256532959336305,0.0256532959336305
"89","ASV10697",0.00434569537677914,0.011321797734891,0.0011321797734891
"90","ASV10699",0,0,0
"91","ASV107",0.14989636281496,0.0738537855459962,0.00738537855459962
"92","ASV10701",0.00128294715603002,0.00482983525364512,0.000482983525364512
"93","ASV10707",0.112718197203701,0.0821765544425145,0.00821765544425145
"94","ASV1071",0.0619678226761253,0.0444887811067769,0.00444887811067769
"95","ASV10710",0.350896409975215,0.131952346450496,0.0131952346450496
"96","ASV10718",1.21360481021457,0.287080319058584,0.0287080319058584
"97","ASV10721",0.00137139876054117,0.00558447512809461,0.000558447512809461
"98","ASV10727",0.0353730649843758,0.0307543189501372,0.00307543189501372
"99","ASV10760",0.373257848442803,0.130569750558389,0.0130569750558389
"100","ASV10769",0.254595227265752,0.0978038933031386,0.00978038933031386
"101","ASV10784",0.202481181171697,0.0761893509073109,0.00761893509073109
"102","ASV10785",0.67144788373954,0.206336176169229,0.0206336176169228
"103","ASV10788",0.00884860518452679,0.0144272494369147,0.00144272494369147
"104","ASV10794",0.250974540355635,0.103317264899206,0.0103317264899206
"105","ASV10796",0.416674371076494,0.122388456782649,0.0122388456782649
"106","ASV10797",0.000283333333333333,0.00199684093942751,0.000199684093942751
"107","ASV10799",0.0090904690187762,0.0166059967425945,0.00166059967425945
"108","ASV10800",0.00275606024440387,0.00943382155614031,0.000943382155614031
"109","ASV10803",0.0342418734125708,0.0317117727557189,0.00317117727557189
"110","ASV10810",0.000133333333333333,0.00133333333333333,0.000133333333333333
"111","ASV10814",0.0156552709496345,0.0279000972064992,0.00279000972064992
"112","ASV10815",0.00327983433433011,0.00860401507160147,0.000860401507160147
"113","ASV10824",0.154693117441365,0.0746361349749209,0.00746361349749209
"114","ASV10826",0.0027224669299213,0.00766261604878865,0.000766261604878865
"115","ASV10832",0.152471742187594,0.0681410876828857,0.00681410876828857
"116","ASV10835",0.0861416990240595,0.0851550836723792,0.00851550836723792
"117","ASV10846",0.285526997649505,0.0984459990435338,0.00984459990435338
"118","ASV10857",0.000873214285714286,0.00407212588329994,0.000407212588329994
"119","ASV10858",0.137937169464922,0.0725142699425135,0.00725142699425135
"120","ASV10864",0.24769284631397,0.102558899863592,0.0102558899863592
"121","ASV1087",0.0953230865331278,0.0570035839979203,0.00570035839979203
"122","ASV10873",1.13855425538321,0.33967140920049,0.033967140920049
"123","ASV10881",1.93204270854606,0.357746740817616,0.0357746740817616
"124","ASV10900",0,0,0
"125","ASV10901",0.242940990746049,0.10064936310913,0.010064936310913
"126","ASV10910",0.000186666666666667,0.00186666666666667,0.000186666666666667
"127","ASV10914",0.0270168400361021,0.0301771390815234,0.00301771390815234
"128","ASV10926",0.00948286165244513,0.0186061857574019,0.00186061857574019
"129","ASV10944",0.0846141447138459,0.0468266696832257,0.00468266696832258
"130","ASV10956",0,0,0
"131","ASV10958",0.00563602234254992,0.0120714342647421,0.00120714342647421
"132","ASV10990",0.0446955216479837,0.0363253034344045,0.00363253034344045
"133","ASV10993",0.00284010675031135,0.00904121865199049,0.000904121865199049
"134","ASV1101",0.00163766465637311,0.00719596625565852,0.000719596625565852
"135","ASV11014",0.0273457331927335,0.0303635108303477,0.00303635108303477
"136","ASV11039",0.000133333333333333,0.00133333333333333,0.000133333333333333
"137","ASV11044",8.34488897851966,0.88171671699293,0.088171671699293
"138","ASV11048",0.0550868356978928,0.0591260120507121,0.00591260120507121
"139","ASV11066",0.0135267162645113,0.0202213950054417,0.00202213950054417
"140","ASV11077",0.00194795687972159,0.00615620724233902,0.000615620724233902
"141","ASV11082",0.010906946286073,0.0173941597266853,0.00173941597266853
"142","ASV11100",0.197593343240527,0.0994611896533248,0.00994611896533248
"143","ASV11103",0.000764615384615385,0.00482246922557252,0.000482246922557252
"144","ASV11112",0,0,0
"145","ASV11113",0.0243850366184175,0.0258449041228753,0.00258449041228753
"146","ASV11118",0.065176819151467,0.041821515964788,0.0041821515964788
"147","ASV11120",0.0264121128013646,0.0223310446916938,0.00223310446916938
"148","ASV11125",0.0159204161606382,0.0190192019137609,0.00190192019137609
"149","ASV11128",0,0,0
"150","ASV11129",0.0622673258412781,0.041738885227355,0.0041738885227355
"151","ASV11143",0.197828492942869,0.0946905702097416,0.00946905702097416
"152","ASV11145",0.0606850392719698,0.0408830334474001,0.00408830334474001
