"","predictors","MeanDecreaseGini.mean","MeanDecreaseGini.sd","MeanDecreaseGini.std.error"
"1","ASV1",0.709577919448734,0.175872193109493,0.0175872193109493
"2","ASV10004",0.116110858994373,0.0821196691134524,0.00821196691134524
"3","ASV10014",0.0228406437717025,0.0279794210434001,0.00279794210434001
"4","ASV10040",0.140717926090466,0.0673735961084656,0.00673735961084656
"5","ASV10048",0.000378306878306879,0.00266193788485842,0.000266193788485842
"6","ASV10056",0.0551043104781493,0.0435939887814016,0.00435939887814016
"7","ASV10089",0.072468796637682,0.0458588478512009,0.00458588478512009
"8","ASV10102",0.0187577067269971,0.0229412233198761,0.00229412233198761
"9","ASV10112",0.00107222222222222,0.00510692351509215,0.000510692351509215
"10","ASV10139",0.0798759724428572,0.0463496815960431,0.00463496815960431
"11","ASV10142",0.000484423179160021,0.00348950552796767,0.000348950552796767
"12","ASV10144",0.0206633943441734,0.0224055296578309,0.00224055296578309
"13","ASV10147",0.0113317400943457,0.0179269053478875,0.00179269053478875
"14","ASV10154",0.938142034900637,0.222371402067366,0.0222371402067366
"15","ASV1016",0.00126283125371361,0.00590242645994346,0.000590242645994346
"16","ASV10160",0.00228955990755266,0.00842582427620455,0.000842582427620455
"17","ASV10167",0.00428866316081251,0.00917697752986344,0.000917697752986344
"18","ASV10184",0.00148498901098901,0.00629469570721544,0.000629469570721544
"19","ASV10201",0.00898934225663785,0.0156402590817428,0.00156402590817428
"20","ASV1021",0.0409383125911537,0.0383617628670949,0.00383617628670949
"21","ASV10213",0.00542022079003844,0.0126402642086807,0.00126402642086807
"22","ASV10224",0.00866363578549914,0.0155300103609685,0.00155300103609685
"23","ASV10227",0.0301026859760683,0.0305459575480282,0.00305459575480282
"24","ASV10232",0.000640667562724014,0.00317228460315298,0.000317228460315298
"25","ASV10249",0.00793635199547328,0.0214898228400901,0.00214898228400901
"26","ASV10252",0.0027147966654362,0.0069501266780764,0.00069501266780764
"27","ASV1026",0.221403347460028,0.0732040853989288,0.00732040853989288
"28","ASV10261",0.0724996697918792,0.0416892431148955,0.00416892431148955
"29","ASV10262",0.00177268103297579,0.00609934981456828,0.000609934981456828
"30","ASV10267",0.76448612694386,0.229577966332425,0.0229577966332425
"31","ASV10274",0.0127151837824211,0.0192530467877169,0.00192530467877169
"32","ASV10279",5.18036459868881,0.592883517642614,0.0592883517642614
"33","ASV10289",0.0162550640864642,0.0193753075444862,0.00193753075444862
"34","ASV10299",0.00914216345488411,0.0161244947952167,0.00161244947952167
"35","ASV10306",0.0925598123593863,0.062686702116418,0.0062686702116418
"36","ASV10307",0.0653062875823504,0.0452608172124341,0.00452608172124341
"37","ASV10325",0.0905612747073798,0.0547961450056899,0.00547961450056899
"38","ASV10334",1.45353937862838,0.283388368405068,0.0283388368405068
"39","ASV1034",0.299756908210741,0.127563760230167,0.0127563760230167
"40","ASV10341",0.00711046740763215,0.0110970783055995,0.00110970783055995
"41","ASV10345",0.0015794400405376,0.00567977482499962,0.000567977482499962
"42","ASV10374",0.131779660368932,0.0676305143316513,0.00676305143316513
"43","ASV1038",0.37168066813536,0.123508879066954,0.0123508879066954
"44","ASV10381",0.147140303526702,0.0643742270327755,0.00643742270327755
"45","ASV1039",0.014526159015092,0.0184466458363461,0.00184466458363461
"46","ASV10396",0.0162951235168935,0.0286444169177584,0.00286444169177584
"47","ASV1040",0.331025039433602,0.150317287716862,0.0150317287716862
"48","ASV10400",0.0155136147046632,0.0176892251543221,0.00176892251543221
"49","ASV10405",0.0035853674935653,0.00854794291039756,0.000854794291039756
"50","ASV10413",0.437703235287251,0.195023582509776,0.0195023582509776
"51","ASV10414",10.6891385481954,0.80561479412171,0.080561479412171
"52","ASV10415",0.10257636140418,0.0524834899312396,0.00524834899312396
"53","ASV1043",0.0404308682288931,0.0461369951519867,0.00461369951519868
"54","ASV10434",0.0966791425646958,0.0554344781289249,0.00554344781289249
"55","ASV10448",0.0814402198070839,0.0526153713738167,0.00526153713738167
"56","ASV1045",0.00959373221821008,0.0148974686589429,0.00148974686589429
"57","ASV10468",0.0364538762300842,0.0354924597044838,0.00354924597044838
"58","ASV10469",0.0142504366259426,0.0200662372218085,0.00200662372218084
"59","ASV1047",0.00112383647773063,0.00583744665849853,0.000583744665849853
"60","ASV10472",0.0581465185702091,0.0473799634066645,0.00473799634066645
"61","ASV10486",0.105345170211988,0.0611841203896528,0.00611841203896528
"62","ASV10508",0.103596854724268,0.0477190556882936,0.00477190556882936
"63","ASV10517",0.210389431392501,0.0847197522478144,0.00847197522478144
"64","ASV10531",0.166503497245049,0.070766777118877,0.0070766777118877
"65","ASV10539",0.0078057694030623,0.0148735316511868,0.00148735316511868
"66","ASV10542",0.145008213972825,0.0851848705777984,0.00851848705777984
"67","ASV10547",0.0304272899336545,0.0292994347563033,0.00292994347563033
"68","ASV10550",0.150275052064692,0.0677834154431359,0.00677834154431359
"69","ASV10558",0.20336558082327,0.0733017130103576,0.00733017130103576
"70","ASV10563",0.0365607234605645,0.0349846043925557,0.00349846043925557
"71","ASV10566",0.00644950558119476,0.0112467570901764,0.00112467570901764
"72","ASV10577",0.00437952335243447,0.00886341165124977,0.000886341165124977
"73","ASV10582",0.00397747144926002,0.00953003422077712,0.000953003422077712
